question_id	question_rank	document_title	paragraph_index
283	3	Glacier	13
283	4	Detroit	38
283	5	Karl_Popper	20
286	1	East_India_Company	30
286	2	Dutch_Republic	15
286	3	Crucifixion_of_Jesus	17
286	4	British_Empire	26
286	5	East_India_Company	24
289	1	History_of_science	53
289	2	General_Electric	14
289	3	Treaty	30
289	4	General_Electric	9
289	5	Carnival	33
292	1	Raleigh,_North_Carolina	9
292	2	North_Carolina	4
292	3	North_Carolina	1
292	4	Plymouth	64
292	5	North_Carolina	0
295	1	Alloy	5
295	2	Affirmative_action_in_the_United_States	18
295	3	New_York_City	91
295	4	The_Legend_of_Zelda:_Twilight_Princess	26
295	5	Railway_electrification_system	15
298	1	Cyprus	40
298	2	Cyprus	20
298	3	Cyprus	16
298	4	Cyprus	2
298	5	Cyprus	15
